ASV	Kingdom	Phylum	Class	Order	Family	Genus	gillis_1_1.filt.fastq.gz	gillis_10_1.filt.fastq.gz	gillis_11_1.filt.fastq.gz	gillis_12_1.filt.fastq.gz	gillis_13_1.filt.fastq.gz	gillis_14_1.filt.fastq.gz	gillis_15_1.filt.fastq.gz	gillis_16_1.filt.fastq.gz	gillis_17_1.filt.fastq.gz	gillis_18_1.filt.fastq.gz	gillis_19_1.filt.fastq.gz	gillis_2_1.filt.fastq.gz	gillis_20_1.filt.fastq.gz	gillis_3_1.filt.fastq.gz	gillis_4_1.filt.fastq.gz	gillis_5_1.filt.fastq.gz	gillis_6_1.filt.fastq.gz	gillis_7_1.filt.fastq.gz	gillis_8_1.filt.fastq.gz	gillis_9_1.filt.fastq.gz
ASV837	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	24	0	25	0	0	25	0	0
ASV838	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	36	0
ASV839	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0
ASV84	Bacteria	Acidobacteriota	Acidobacteria_Gp1	Gp1	NA	NA	11	0	26	61	49	12	66	10	59	0	0	13	77	14	52	59	48	12	39	27
ASV840	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	NA	21	34	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV841	Bacteria	Bacillota	Clostridia	Eubacteriales	Clostridiaceae_1	Clostridium_sensu_stricto	0	30	0	10	0	0	15	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV842	Bacteria	Acidobacteriota	Acidobacteria_Gp10	Gp10	NA	NA	0	0	17	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV843	Bacteria	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	0	0	0	23	0	0	0	0	0	0	0	39	0	0	0	0	0	0	11	0
ASV844	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	NA	NA	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	36	0	0
ASV845	Bacteria	Acidobacteriota	Acidobacteria_Gp4	Gp4	NA	NA	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0
ASV846	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	NA	36	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV847	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	NA	NA	0	15	0	9	0	7	0	0	0	0	12	0	0	18	0	11	0	0	0	0
ASV848	Bacteria	NA	NA	NA	NA	NA	41	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV849	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	NA	0	0	20	0	9	0	0	0	0	0	0	0	0	0	17	0	0	26	0	0
ASV85	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	30	54	49	0	57	0	50	37	41	33	48	30	62	47	37	0	54	0
ASV850	Bacteria	Pseudomonadota	Deltaproteobacteria	Myxococcales	Labilitrichaceae	Labilithrix	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV851	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	0	0	0	0	0	0	22	0	0	0	0	0	28	0	22	0	0	0	0	0
ASV852	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Chujaibacter	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	52	0	0	0	0
ASV853	Bacteria	NA	NA	NA	NA	NA	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	56	0	0	0	2
ASV854	Bacteria	Pseudomonadota	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	NA	0	0	0	0	0	0	9	63	0	0	0	0	0	0	0	0	0	0	0	0
ASV855	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0
ASV856	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0
ASV857	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	24	0	0	0	0
ASV858	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	NA	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
ASV859	Bacteria	Acidobacteriota	NA	NA	NA	NA	24	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
ASV86	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	0	28	48	0	0	0	73	134	0	0	0	0	38	55	58	114	0	76	0	0
ASV860	Bacteria	Pseudomonadota	NA	NA	NA	NA	0	19	0	16	0	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0
ASV861	Bacteria	NA	NA	NA	NA	NA	15	0	25	0	0	0	0	0	0	0	0	0	0	6	0	0	10	0	0	15
